,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZNF207,1.12674044272968,8.67834410960417,38.4977487394943,2.61503414516788e-142,8.98264228865167e-139,314.812473893361
POLR2G,1.05609459428437,9.87426070310417,36.8594014600704,5.22737299259656e-136,8.97801311478459e-133,300.34464991814
DDX39A,1.78750448430833,8.73831048771296,34.6535290996818,2.7062984292753e-127,3.09871170152022e-124,280.330380288568
SAE1,1.37811613256458,10.1504984751574,34.3796024413073,3.411735763087e-126,2.92982808655096e-123,277.802177884122
CLEC4G,-2.13825952470105,7.68420486165046,-34.2827595629153,8.37626198358756e-126,5.75449198272465e-123,276.906112796486
CAP2,2.1702574758125,8.43110789148611,32.8212258548471,7.43734913614547e-120,4.25788238044328e-117,263.240595459281
ACLY,1.25137964227708,8.40797742411574,32.4389804177898,2.79260712203714e-118,1.25789341677903e-115,259.622859069447
PEA15,1.54476032882083,9.25078358711574,32.4339442793476,2.92959165479833e-118,1.25789341677903e-115,259.575075024009
DCTN2,1.00726702782291,9.32269545853704,32.4094452625818,3.6982600725651e-118,1.41150259436235e-115,259.342578333357
SF3B4,1.76525140853958,9.26053674089352,31.9134317269925,4.20281460071488e-116,1.44366681534556e-113,254.61961404407
FCN3,-3.5360412417052,9.00027073127315,-31.8376274795051,8.68605513147302e-116,2.48638328138415e-113,253.895179648115
CLEC1B,-2.76498375833751,7.19896745653472,-31.6166115219368,7.24069295455264e-115,1.71971435441738e-112,251.779038199881
CCT3,1.29002031397187,8.84141560564931,31.6128153363282,7.50966966994488e-115,1.71971435441738e-112,251.742639676414
PSMD4,1.41470626954477,9.79175804530093,31.3133981702122,1.34086986445993e-113,2.87867999026242e-111,248.86631428255
CYP1A2,-5.00046935719895,9.57096207128009,-31.2343794709232,2.87417255633594e-113,5.48487929500775e-111,248.105435680046
PARP1,1.3283709763323,9.71339695274537,31.0027828179448,2.69691761629508e-112,4.87574316419663e-110,245.871081076149
DBH,-1.53858471423022,6.90501934296759,-30.7339988807363,3.65426664351967e-111,6.27620296024503e-109,243.269984373838
ECM1,-1.01393291933854,7.40112070346644,-30.7116247590872,4.54141028094826e-111,7.42844967383679e-109,243.053079577945
COL4A1,2.1790179627552,9.71335779896296,30.5808754215727,1.61918333643947e-110,2.52813398212254e-108,241.784361073519
NAT2,-2.25676053455,7.79923885688889,-30.0691666854504,2.38966527869476e-108,3.42020843013187e-106,236.799863629654
ATP6V1F,1.13841855043957,10.020386955088,29.9431830096935,8.21043899511839e-108,1.12811431792927e-105,235.568030519514
POLR3C,1.10989347545521,8.3414563321088,29.5849998338168,2.77093017162586e-106,3.66082505366724e-104,232.055926738939
MT1F,-4.07310097065625,10.4288592951944,-29.5568551792425,3.65575176873113e-106,4.65092863910794e-104,231.779343513631
EFTUD2,1.12901385810625,8.57064989561806,29.1698197266599,1.66684893429138e-104,2.04486646046104e-102,227.966872552944
HSP90AB1,1.46916246210417,9.96967421733565,28.9595146959498,1.33759359550929e-103,1.58435655192221e-101,225.888311585503
LCAT,-2.41683016368438,8.23375894838195,-28.9057861432682,2.27889039332807e-103,2.60932950036063e-101,225.356504711313
CS,1.33309156408438,9.22659611519444,28.8469689431781,4.08502637335642e-103,4.52647277176752e-101,224.773969311449
CTNNA1,1.03637743717709,9.76367252011574,28.8061279584853,6.12765093499344e-103,6.57765030053202e-101,224.369252040982
COPA,1.11843942950624,10.2678913735208,28.6291568073453,3.55848875879667e-102,3.70406329892926e-100,222.613455659023
EPRS1,1.21212618167499,9.08193069257639,28.6030581648945,4.61376157182997e-102,4.66125617624586e-100,222.35423592172
SNRPB,1.33677695449792,9.7843840982662,28.4911089954254,1.40676026932028e-101,1.34228375697643e-99,221.24149504433
VIPR1,-1.29536217088229,7.58904081533796,-28.3760054875533,4.43230968059332e-101,4.11486047374002e-99,220.096008879904
SCAMP3,1.14466645174219,7.92813983190625,28.3073104243923,8.7978463346938e-101,7.95279004201926e-99,219.411701340199
HGS,1.45539550722291,9.0712723618287,28.0849712719253,8.11964282623556e-100,6.97274327702979e-98,217.193467005567
TOMM40,1.42940634242916,9.00128089399537,28.0294829425507,1.41499998309267e-99,1.15726784331508e-97,216.639067375984
THY1,2.00988831947083,7.47855038499074,27.9774888879328,2.38183060770313e-99,1.90269491568843e-97,216.119290922596
TOP2A,2.54727470770416,7.47907985087037,27.9445199626286,3.31417779381004e-99,2.58731834584943e-97,215.789561266205
C8orf33,1.19421311386718,7.91789727503819,27.9016402012663,5.09378259634106e-99,3.88825404854034e-97,215.360543873064
PTTG1,1.42715415673853,7.69642126771759,27.8914569724026,5.64133843798088e-99,4.21260815966615e-97,215.258631662075
UBE2C,1.08028702394844,6.84894164770486,27.8822175570431,6.1889668667522e-99,4.52321301857315e-97,215.16615579825
PRC1,1.91312710816146,7.28783147653241,27.8059013377921,1.33078019167073e-98,9.52339574664369e-97,214.401984881339
IGFALS,-2.21451578435834,8.14525710198843,-27.7709575565048,1.88987202537556e-98,1.32483885860511e-96,214.051886995568
HSPB1,1.47816912278125,11.9628497021389,27.6105794483822,9.46752241716387e-98,6.37665480450155e-96,212.443490015886
CDC20,2.47784583406666,7.48656729313426,27.5075374296302,2.66961040443904e-97,1.76348302677848e-95,211.408739689378
MT1H,-2.78049155848855,8.35092974410532,-27.4799569259496,3.52395743534472e-97,2.28392335668096e-95,211.131595877738
SLC25A39,1.28813930005208,10.309778789463,27.3230928614271,1.71185187890768e-96,1.05003771500855e-94,209.553908194132
CHTOP,1.04045039699062,7.88382806416667,27.2737956858742,2.81453721079885e-96,1.69612900334983e-94,209.057593130248
POGK,1.1331414658875,8.6070647421875,26.9985402301023,4.53956573157685e-95,2.55629644065024e-93,206.282033447045
CREB3L2,1.07432039635208,8.67072891356713,26.9906483926007,4.9168185466019e-95,2.72407608186734e-93,206.202348037938
MED20,1.14119523371146,8.61129885365046,26.9837454566704,5.27244177070528e-95,2.87473610831312e-93,206.132642890198
ASPM,1.60036614143125,7.76915993588889,26.9344818494609,8.67971465024227e-95,4.65856559743472e-93,205.635052314049
ADGRG7,-1.01139260538177,7.4031676609537,-26.8533017934027,1.97458902114486e-94,1.04349435194347e-92,204.814585609383
DNAJB11,1.20946918313749,10.1699654572986,26.807723949054,3.13338174627496e-94,1.6307827724931e-92,204.353669376936
MT1G,-4.34707891508854,11.6584460898102,-26.7766396435098,4.29367041576004e-94,2.20130714599041e-92,204.039210584893
SLC39A1,1.26164258147812,8.9810509749375,26.7416019932577,6.12479346797652e-94,3.0939214062499e-92,203.684650244247
PSME3,1.01516541520417,7.37856599744329,26.6451799298309,1.62881362646779e-93,7.88024620692515e-92,202.708326737961
LSM2,1.12663883528124,9.70231586878472,26.5962794299088,2.67572379872929e-93,1.2765432289771e-91,202.212855431413
GARS1,1.24408538816562,9.62476847827778,26.5925537554074,2.778876354342e-93,1.30759455851572e-91,202.175097011905
NUP205,1.08553197252083,7.8966316990463,26.5848878309446,3.00381369345157e-93,1.39433784283867e-91,202.097401518506
UQCC2,1.16485025135625,9.15717998883333,26.4721320774077,9.44390629633456e-93,4.26839712209332e-91,200.953981797718
CFL1,1.15474142035104,10.4966071135926,26.4688827859608,9.76101535837665e-93,4.35442698130179e-91,200.921014634706
PSMB4,1.1078189563677,10.5767883380671,26.3880646079614,2.22015578141904e-92,9.77722449894156e-91,200.100730142182
PLOD3,1.30043766103125,9.29011866733333,26.3070588006711,5.06239601914749e-92,2.20118105389514e-90,199.277952535992
B4GALT3,1.04314631248541,8.04006723202315,26.2745861257109,7.04575348560466e-92,2.98792138556198e-90,198.947962596365
IRAK1,1.23279095875,8.37894851693056,26.245704511945,9.45487448632358e-92,3.91295106753271e-90,198.654386701872
AP3B1,1.15312455338541,9.07295846949537,26.0866897283785,4.78042228375031e-91,1.8874425913428e-89,197.036718406036
NEU1,1.38776952438542,8.52148017986343,25.9958060734212,1.20823968032138e-90,4.6114481132266e-89,196.11116429063
NUSAP1,1.15276212364114,7.1943070506088,25.9379975489253,2.17997443317818e-90,8.05184105157747e-89,195.522075915157
STIP1,1.22412663757813,8.91492111761111,25.8639772384151,4.64308381391277e-90,1.69670137242451e-88,194.767368235437
CDK4,1.17062554967082,8.85779832444907,25.7587166992082,1.36172610608927e-89,4.92371492043858e-88,193.693340567812
FAM20B,1.08491197874583,8.71056015593519,25.7548551036499,1.41657710015095e-89,5.06868993647763e-88,193.653921076066
CCNB2,1.67305379433959,6.90154799601157,25.7018909365467,2.43513845271295e-89,8.44919251017071e-88,193.113133323361
APOF,-3.03302077636667,9.82937451367824,-25.5623751068383,1.015728967676e-88,3.45448416234363e-87,191.687508136267
KPNB1,1.04222910281666,9.39330230427315,25.5439515915966,1.22669345054489e-88,4.1310705908056e-87,191.499130988821
HAMP,-4.32256900587916,10.7823075649699,-25.5399512448391,1.27800758154435e-88,4.26209324524743e-87,191.45822452547
NAXE,1.1596523586,9.7251831361875,25.5175768915206,1.6072610267602e-88,5.25803964468694e-87,191.229406590937
SRD5A2,-1.74297817284688,7.42797235753472,-25.5047891148975,1.83228296986432e-88,5.93763396366409e-87,191.098610473948
AATF,1.01306828554583,7.84348539990046,25.4948251144555,2.0292554757186e-88,6.5144790271901e-87,190.996687417359
GPC3,3.79290984390001,8.34864610972917,25.4597899637856,2.90593625214612e-88,9.24249169085364e-87,190.638245005495
TTC36,-1.14673982919688,6.82347242388889,-25.4556885851368,3.03071460141057e-88,9.55092170261038e-87,190.596277630245
SNX27,1.06959993772292,8.48639602221759,25.4542765652909,3.074902563122e-88,9.60208209484007e-87,190.581828819664
TUBA1B,1.41002577843438,11.0405671485972,25.4042986414861,5.13307724955368e-88,1.56036463293955e-86,190.070316071423
NPLOC4,1.01796907288021,7.4384915554213,25.292912251924,1.60945581500435e-87,4.84954449521047e-86,188.92959058868
GTPBP4,1.04055726241874,9.15886293622917,25.2848717585642,1.74791880511459e-87,5.2209574744075e-86,188.84720896912
LAMC1,1.80125797747292,8.94079948225926,25.2650693703537,2.14192336254693e-87,6.34267823305923e-86,188.644295364685
PTCD1,1.0765912075698,8.3408635280787,25.2006007176763,4.15249068886173e-87,1.21912867660171e-85,187.983479239683
LMNA,1.3822121655526,9.3304202846412,25.146181583347,7.26281417329143e-87,2.09645098195429e-85,187.425423592667
CYP39A1,-1.23606992959428,7.38141481633218,-25.0097934399066,2.9515097448075e-86,8.24263087269413e-85,186.025806482873
SLC41A3,1.06898650878646,8.0880249982338,25.0034802126209,3.14953152033721e-86,8.72471030028897e-85,185.960986205881
GBA,1.28120008209531,8.80792410870139,24.9710502126569,4.3967721991695e-86,1.1986438495355e-84,185.627968460279
AKR1C3,1.71468152615521,11.8848728875046,24.8562210569895,1.43360554003773e-85,3.81739149614698e-84,184.448185111703
PLVAP,1.15806344901771,7.38426586994907,24.8538776074331,1.46862006358207e-85,3.88054609108033e-84,184.424097885481
MT1M,-3.40007896017084,8.35854362534954,-24.8505844356044,1.51927589239005e-85,3.98375014531283e-84,184.390248232398
ZYX,1.04421499108073,8.25038258518981,24.8124954985555,2.24903752163321e-85,5.85260900515916e-84,183.998684905494
CKAP4,1.39663295761146,9.20156109328241,24.526465695274,4.29294106798885e-84,1.07636880062348e-82,181.054938411387
EIF3B,1.05169408456041,9.0265286012037,24.5123738453141,4.96498861809575e-84,1.23585042776514e-82,180.909761614028
CHST4,-1.38384257601458,7.3991043942037,-24.4181335107415,1.31364749760296e-83,3.17773179877898e-82,179.938534660474
MCM3,1.12996698672186,8.30554028264583,24.3501409762213,2.65160671328296e-83,6.32518684731039e-82,179.237444358229
GLMP,1.42052576075625,9.9649386938125,24.3397440746609,2.95232245352254e-83,6.94604632044516e-82,179.130211996865
DCAF7,1.07434357446353,8.61330416321759,24.3267241615922,3.37748361810449e-83,7.89228314842784e-82,178.995916196857
NCAPG,1.61471845509479,6.80211478074537,24.2195037603674,1.02317412169637e-82,2.35879403223291e-81,177.88955586009
NABP2,1.04841748118438,7.69740382060417,24.2032945553512,1.20989443949087e-82,2.77065826643408e-81,177.722235671526
CNDP1,-1.45157205062291,6.73144372549769,-24.0106807832252,8.87887137952072e-82,1.98044955770479e-80,175.732705620836
TUBA1A,1.14249992580417,9.67620273626273,23.9130697668743,2.44008198284181e-81,5.37287282760359e-80,174.723599225854
SLC25A47,-1.75722514736042,8.21863124061574,-23.9023959347572,2.72539615968497e-81,5.94997286411704e-80,174.613218070445
MT1A,-2.85304479372708,12.1571870897523,-23.886129440191,3.22569910882933e-81,6.92517277426796e-80,174.444988580529
PRPF3,1.14136732973958,7.50325636935185,23.8808373424846,3.40751786614443e-81,7.27007693801623e-80,174.390253871659
CAPNS1,1.05278913670729,8.84621149628357,23.8798205074793,3.44360994037688e-81,7.30172848468802e-80,174.379736837714
CDCA5,1.19910714063125,7.26287012950694,23.7758173369535,1.01198396407278e-80,2.08153587819761e-79,173.303721583742
PUF60,1.20273937356042,10.5761339003981,23.5294518429062,1.30387295627129e-79,2.58890381779877e-78,170.752378918244
NCSTN,1.19996252322812,10.1315691822639,23.4506079157366,2.95660073712867e-79,5.83673766209022e-78,169.935178368322
PTTG3P,1.45908794513021,6.90979850166435,23.2744521987593,1.84374807832096e-78,3.46080581914344e-77,168.108197960107
KIFC1,1.18404052346457,6.75814665317824,23.193367360852,4.28379543836279e-78,7.95396612474389e-77,167.266713906343
ATIC,1.0877958425875,10.0400490912431,23.1677013228854,5.59434502644146e-78,1.02762434041853e-76,167.000290008592
TMEM9,1.14363401839062,8.16014410179861,23.088871120147,1.27019744378873e-77,2.28436032430067e-76,166.181805431946
PCK1,-2.26217486301303,8.71045627517593,-23.0194702424935,2.61517301910871e-77,4.60672785673765e-76,165.460985909363
ATP6AP1,1.29645402552708,10.4850830181852,23.002091929702,3.13364476085496e-77,5.46399479874964e-76,165.280454995704
TUBA1C,1.53114357624844,10.1409773612917,22.9893875542291,3.57665332169369e-77,6.2049515959686e-76,165.14846971887
PTPRF,1.03710009837187,9.07808647405208,22.9703236693965,4.36170726000505e-77,7.52887660206901e-76,164.95040224724
RDH5,-2.07609396234166,9.15982259771991,-22.9414103525391,5.89351998352905e-77,9.97253258296664e-76,164.649971768799
MCM6,1.32509468907708,8.47432419424769,22.9033122570894,8.7627887763133e-77,1.46830143642128e-75,164.254048950308
GMFB,1.00842059081979,9.08336356582176,22.8757777977029,1.16724409015375e-76,1.94635118916414e-75,163.967866508611
CYP3A4,-3.93786278777501,9.85901617394445,-22.8391483665133,1.70935927668477e-76,2.8365454663827e-75,163.587104483431
SMG5,1.32022575268959,7.61318483662963,22.7213819439922,5.82970846178362e-76,9.40143125174964e-75,162.362548563376
DNMT1,1.40765416231354,8.35323765700232,22.7062174431519,6.82769266398713e-76,1.09084299073469e-74,162.204824665426
MPV17,1.0730625107125,7.39479742503472,22.7002937841683,7.26244148053353e-76,1.14433424246021e-74,162.143211025697
KMO,-1.52986541146876,8.18346461991667,-22.6711584648581,9.83895851958183e-76,1.54323390478373e-74,161.840146323986
DAP3,1.12652794862812,9.3045370651875,22.6660990828388,1.03716867508968e-75,1.61939745406048e-74,161.787515408981
DARS2,1.01830672699062,7.29441486009028,22.6262117679514,1.57183336909061e-75,2.43209352379561e-74,161.372547551464
AURKA,1.52654796551198,7.3514278643044,22.5778945802103,2.60111061244055e-75,4.00664347701045e-74,160.869798454071
MT1E,-1.71247956235782,9.03829651545833,-22.5741179416691,2.70557072206934e-75,4.14894438853043e-74,160.83049816107
BCL2L12,1.11048948532396,7.6753830020463,22.4887884348932,6.58688607220549e-75,9.83737115566342e-74,159.942406787283
PRICKLE4,1.12468952053542,9.95631967968981,22.4882104960776,6.62670731333287e-75,9.85399983605992e-74,159.936390828223
GNPAT,1.14475440491875,8.37444366440972,22.4743901691224,7.65411985769892e-75,1.12358554321349e-73,159.792526883966
CDHR2,-1.49181474653854,7.60921642283102,-22.4523758415743,9.62969661422216e-75,1.40757480297247e-73,159.563352870585
KBTBD11,-1.70818384966562,7.29228141602778,-22.4481526789147,1.00633584213973e-74,1.46473034650423e-73,159.519386878938
RBM42,1.04074070864479,8.78920189021065,22.4097225040361,1.50258422560796e-74,2.14165013069018e-73,159.119274362208
FOS,-2.53985541890625,9.10285470983333,-22.2228449377667,1.0561819455139e-73,1.43967658049216e-72,157.172918475587
MT1X,-3.20071152346562,11.5626491185486,-22.1595325122834,2.04536529817199e-73,2.77700782577897e-72,156.513263718573
CLIC1,1.30457149728437,9.39229147038889,22.0589832819981,5.84420723010676e-73,7.81122639510378e-72,155.465399181629
MT2A,-2.44832040555937,12.2476819125833,-21.9748904754889,1.4065369447067e-72,1.83705490686978e-71,154.588822316486
CETP,-1.08848025649011,7.69800425169907,-21.9691192949748,1.49393227183591e-72,1.94380960369559e-71,154.52865725087
CNOT11,1.21518814612708,9.61546148084491,21.9642982451336,1.57108938249408e-72,2.03648755806308e-71,154.478396735074
CLTRN,-1.38355752249062,7.49151980606944,-21.9386215601096,2.05439439444615e-72,2.65294915222652e-71,154.210701775943
LSM4,1.25970484960833,9.18435305481018,21.9276509553687,2.30385153582766e-72,2.96394382980075e-71,154.096321610448
CDC25B,1.31817109755209,7.62762980082407,21.8131521547398,7.62046630887101e-72,9.62364035697497e-71,152.902379905556
SEPTIN9,1.08892918995834,10.8253945727755,21.7763177980145,1.11980484372546e-71,1.39873805025344e-70,152.518224857369
ADH1B,-2.61754315737813,9.97399834931944,-21.7718212383396,1.17367925564671e-71,1.46072037795161e-70,152.471327070855
ASS1,-1.76167665170001,11.7920729688472,-21.7465194231623,1.52891110004808e-71,1.8891401541961e-70,152.207428686392
MID1IP1,1.18374288325937,7.58390537511806,21.718576938983,2.04741913022579e-71,2.51174454011628e-70,151.915972709169
VPS37C,1.03829574963437,8.82421211474306,21.6866378275982,2.85877378145961e-71,3.4822297657141e-70,151.58281045997
UCK2,1.05884526755834,6.81315118640741,21.6230656491414,5.55601367598302e-71,6.64979337177759e-70,150.919620128026
TRRAP,1.07786278247083,8.29283631434491,21.616402992239,5.95676083594672e-71,7.10467828870729e-70,150.850110411341
ACACA,1.01880173302292,7.70149149555093,21.5739358644768,9.28558236263819e-71,1.0960816294042e-69,150.407043823894
SAC3D1,1.24984671000209,8.62510476921991,21.5590722657847,1.08465751759366e-70,1.27595841538843e-69,150.25196211213
SLCO1B3,-2.28625429093958,7.7786319195787,-21.5460155485945,1.24329429266001e-70,1.45262445417929e-69,150.115729745382
CKAP2L,1.14104580397917,6.49230945656481,21.5397354881308,1.32766256192311e-70,1.54071652033982e-69,150.050203280279
S100A10,1.51755752176353,10.6526249680336,21.520865666651,1.61720607206704e-70,1.87040500254218e-69,149.853310786693
CTSA,1.25651575789478,9.02585703117593,21.4920329395111,2.18617135713961e-70,2.48658894429621e-69,149.552451977778
CNIH4,1.35335113864167,9.63178747571065,21.4448645717473,3.57990082347805e-70,3.99251926254776e-69,149.060240562132
HCFC1,1.13321796246771,8.27273404188657,21.4327255341513,4.06439172172384e-70,4.51818303046e-69,148.933562070718
RND3,-1.60268715069688,8.39832996382639,-21.3895739007691,6.38203228765745e-70,7.07170351874301e-69,148.483231340766
TLCD1,1.12337997146459,7.14848540846991,21.3707813531889,7.76791942026181e-70,8.5796794882956e-69,148.287104557841
GLA,1.2123353318875,7.86769068049306,21.35131718629,9.5214427471218e-70,1.04492510659308e-68,148.08396382124
ASPG,-1.67316995347189,7.83168972596528,-21.3004165238937,1.62137021426723e-69,1.76806561460569e-68,147.552710111652
CDKN3,1.52798109935625,6.72571973879167,21.2921747350726,1.7673227189845e-69,1.91506420811096e-68,147.466687252718
PHPT1,1.11859524372916,9.09752090167593,21.2334342378359,3.26678980853642e-69,3.48491397277099e-68,146.85356870486
